Postcode,Long,Lat,SA3,SA4,SA1,SA2,0–4,5–11,12–15,16–19,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85 and over,Total
861,134.500504,-18.874571,,,70202105502,702021055,,,,,,,,,,,,,,,,,,,
861,134.463153,-18.251528,70205,702,70202105601,702021056,,,,,,,,,,,,,,,,,,,
862,134.463153,-18.251528,70205,702,70202105502,702021055,,,,,,,,,,,,,,,,,,,
862,137.4667145,-16.79698963,70205,702,70205106603,702051066,,,,,,,,,,,,,,,,,,,
862,134.463153,-18.251528,70205,702,70202105502,702021055,,,,,,,,,,,,,,,,,,,
862,134.463153,-18.251528,70205,702,70202105510,702021055,,,,,,,,,,,,,,,,,,,
862,134.463153,-18.251528,70205,702,70202105501,702021055,,,,,,,,,,,,,,,,,,,
862,134.463153,-18.251528,70205,702,70202105502,702021055,,,,,,,,,,,,,,,,,,,
862,134.463153,-18.251528,70205,702,70202105501,702021055,,,,,,,,,,,,,,,,,,,
862,137.6072968,-18.45128815,70205,702,70202105502,702021055,,,,,,,,,,,,,,,,,,,
862,134.055559,-17.60786065,70205,702,70202105501,702021055,,,,,,,,,,,,,,,,,,,
862,134.463153,-18.251528,70205,702,70202105502,702021055,,,,,,,,,,,,,,,,,,,
862,134.463153,-18.251528,70205,702,70202105501,702021055,,,,,,,,,,,,,,,,,,,
862,135.5134605,-18.92862068,70205,702,70202105502,702021055,,,,,,,,,,,,,,,,,,,
